COLLECTION,ADDRESS,TOKENID,owner
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,75,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xe8C148209ADD124eE57199991E90a3b829A136aA,76,0xe8C148209ADD124eE57199991E90a3b829A136aA
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,77,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,78,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8,79,0xde923Df474661dDF3727C913EbFEe3df0b37BEB8
CastleDAO,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4,80,0xF3881E1a018CcC24F1c78aeD70a4b84dB04c05E4
CastleDAO,0xbb64cba2A8EEc6B378fdaaBE3B12566264987Fa8,81,0xbb64cba2A8EEc6B378fdaaBE3B12566264987Fa8
CastleDAO,0x678BB384442ADfc954C700eDdF028C9332659F44,82,0x678BB384442ADfc954C700eDdF028C9332659F44
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,83,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,84,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,85,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x9fb358896C9B2f872be9006E80bBAa810b8E142d,86,0x9fb358896C9B2f872be9006E80bBAa810b8E142d
CastleDAO,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9,87,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9
CastleDAO,0xa69F670EA591F11BED8DE61Ce0E3C014C849feda,88,0xa69F670EA591F11BED8DE61Ce0E3C014C849feda
CastleDAO,0x3dDA89a9B3960E85a40DB64a32CB5dEF8427B7Dd,89,0x3dDA89a9B3960E85a40DB64a32CB5dEF8427B7Dd
CastleDAO,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d,90,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d
CastleDAO,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e,91,0x99CC6d8cE774e402617d6b23a934b6e2062ba30e
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,92,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0x2F65B176B48c85C7A89ED509955817EE468fBFF2,93,0x2F65B176B48c85C7A89ED509955817EE468fBFF2
CastleDAO,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d,94,0xCcAC7Ca73Ac0b892bd99B144f8A2bf36fa9fB58d
CastleDAO,0xB97167440C95fD6df9053B813855d5bDCa557409,95,0xB97167440C95fD6df9053B813855d5bDCa557409
CastleDAO,0x631A688ae6D59af15758F1C148480E9E07271bEC,96,0x631A688ae6D59af15758F1C148480E9E07271bEC
CastleDAO,0x3C9002CdB61C56B89467D94a2D93235DFD698089,97,0x3C9002CdB61C56B89467D94a2D93235DFD698089
CastleDAO,0x0111D9DdE343f93713635C3a6Ed546f26AfB9Aa5,98,0x0111D9DdE343f93713635C3a6Ed546f26AfB9Aa5
CastleDAO,0xc4Ff9c9Eea29f7651BEfB755681023bB393A4FD7,99,0xc4Ff9c9Eea29f7651BEfB755681023bB393A4FD7
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,100,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,100,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0x91816afc260994D7802542079AC9564c1E7A90a9,101,0x91816afc260994D7802542079AC9564c1E7A90a9
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,102,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,103,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x652E61667cfd10B60dE097E7b7461ac651B72789,104,0x652E61667cfd10B60dE097E7b7461ac651B72789
CastleDAO,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68,105,0x2afB58A22E7D3c241ab7b9A1f68B9e8E74ec9D68
CastleDAO,0x631A688ae6D59af15758F1C148480E9E07271bEC,106,0x631A688ae6D59af15758F1C148480E9E07271bEC
CastleDAO,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47,107,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47
CastleDAO,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9,108,0x472D4BB557E653c1842aEA6C16E0510085dDCdf9
CastleDAO,0x019f4aD7eA31cfa55625094298EE34966d334C7f,109,0x019f4aD7eA31cfa55625094298EE34966d334C7f
CastleDAO,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72,110,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72
CastleDAO,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43,111,0x4Cf5a42F10B11758dDB579DfB637d533ea858b43
CastleDAO,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47,112,0x583Ae442a93b098bbc0556A5e4D892C66aEA6b47
CastleDAO,0x0Acd70f0Ad1C809Cc3B90Dad4a3BC3d1E82c4e47,113,0x0Acd70f0Ad1C809Cc3B90Dad4a3BC3d1E82c4e47
CastleDAO,0x0Acd70f0Ad1C809Cc3B90Dad4a3BC3d1E82c4e47,114,0x0Acd70f0Ad1C809Cc3B90Dad4a3BC3d1E82c4e47
CastleDAO,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E,115,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E
CastleDAO,0x21b46929B20B60d0d5BBcC815228834742Bcc89a,116,0x21b46929B20B60d0d5BBcC815228834742Bcc89a
CastleDAO,0xE017Ac1356C0A1bD7F6885a178993120c2618e75,117,0xE017Ac1356C0A1bD7F6885a178993120c2618e75
CastleDAO,0xE017Ac1356C0A1bD7F6885a178993120c2618e75,118,0xE017Ac1356C0A1bD7F6885a178993120c2618e75
CastleDAO,0xE017Ac1356C0A1bD7F6885a178993120c2618e75,119,0xE017Ac1356C0A1bD7F6885a178993120c2618e75
CastleDAO,0x5e7c4556A3fE623d1Ecc0b946F43af64A580EF93,120,0x5e7c4556A3fE623d1Ecc0b946F43af64A580EF93
CastleDAO,0x729DCbDfEbCc0741B845256E764ECE7F4db55Ccc,121,0x729DCbDfEbCc0741B845256E764ECE7F4db55Ccc
CastleDAO,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E,122,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E
CastleDAO,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db,123,0x8B1EA47e37A70E7FeEFc6A6945a4A7272a7934db
CastleDAO,0x6E6368c64C11D492D83a3120964354104Bfb8b7a,124,0x6E6368c64C11D492D83a3120964354104Bfb8b7a
CastleDAO,0x66D30263D3E33dF6fECAFB89Cc6ef6582B248Bcc,125,0x66D30263D3E33dF6fECAFB89Cc6ef6582B248Bcc
CastleDAO,0x74b926358f43a06665C9733Ff4f1A79d1dceC49E,126,0x74b926358f43a06665C9733Ff4f1A79d1dceC49E
CastleDAO,0x74b926358f43a06665C9733Ff4f1A79d1dceC49E,127,0x74b926358f43a06665C9733Ff4f1A79d1dceC49E
CastleDAO,0xf8aA30A3aCFaD49efbB6837f8fEa8225D66E993b,128,0xf8aA30A3aCFaD49efbB6837f8fEa8225D66E993b
CastleDAO,0xB6343A022E1E53E62a506EC9512568CfAc0976b7,129,0xB6343A022E1E53E62a506EC9512568CfAc0976b7
CastleDAO,0xd53f0b61f6C4725ac2F8dd9568b89d63B1523C36,130,0xd53f0b61f6C4725ac2F8dd9568b89d63B1523C36
CastleDAO,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9,131,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9
CastleDAO,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9,132,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9
CastleDAO,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,133,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7
CastleDAO,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9,134,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9
CastleDAO,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9,135,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9
CastleDAO,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9,136,0xb1FEE9761555Fa7Fe548f8C56B47CE97d61270F9
CastleDAO,0xf6769fBE1eCe4E9e851c1c30Af8fBADa0d07d84d,137,0xf6769fBE1eCe4E9e851c1c30Af8fBADa0d07d84d
CastleDAO,0xCDa9BFE9D578003E9dBDC90A5Dd1E9B0F52C01f6,138,0xCDa9BFE9D578003E9dBDC90A5Dd1E9B0F52C01f6
CastleDAO,0xc13CE81feAb5FC3D0fc636E1D6C0405010381e5F,139,0xc13CE81feAb5FC3D0fc636E1D6C0405010381e5F
CastleDAO,0x29C6B4307d9E665d3243903E408e6007c4300c99,140,0x29C6B4307d9E665d3243903E408e6007c4300c99
CastleDAO,0xc13CE81feAb5FC3D0fc636E1D6C0405010381e5F,141,0xc13CE81feAb5FC3D0fc636E1D6C0405010381e5F
CastleDAO,0x5159128278BB4c4Fd8D605576E247FDA25F00D1E,142,0x5159128278BB4c4Fd8D605576E247FDA25F00D1E
CastleDAO,0xa36d8079feC0eB1921731AE6214BA6c267FD9b82,143,0xa36d8079feC0eB1921731AE6214BA6c267FD9b82
CastleDAO,0xD18001F022154654149ed45888C9c29Def6d3CE6,144,0xD18001F022154654149ed45888C9c29Def6d3CE6
CastleDAO,0xC6Da9641a0f16042c2971f9A6f0BFf64CB4c8bac,145,0xC6Da9641a0f16042c2971f9A6f0BFf64CB4c8bac
CastleDAO,0xC6Da9641a0f16042c2971f9A6f0BFf64CB4c8bac,146,0xC6Da9641a0f16042c2971f9A6f0BFf64CB4c8bac
CastleDAO,0x68Fe59cAB5f2D38751b72D8F08de70bFF8244690,147,0x68Fe59cAB5f2D38751b72D8F08de70bFF8244690
CastleDAO,0x9e8073406Ce51835E9A61398bEd71640ce6cC258,148,0x9e8073406Ce51835E9A61398bEd71640ce6cC258
CastleDAO,0x125530c27fe7ebBb668939AF9367A1047516463B,149,0x125530c27fe7ebBb668939AF9367A1047516463B
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,150,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7,151,0x9B7D7c4ce98036c4d6F3D638a00e220e083116c7
CastleDAO,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377,152,0x68c7dFd627f01D1fEf512c3F1b1CEf46ed78B377
CastleDAO,0xc575a4D6a71D7316E3F29615873DdE6B6b5B141F,153,0xc575a4D6a71D7316E3F29615873DdE6B6b5B141F
CastleDAO,0xAfAB37e854e2EDb2aa9E2830c6BFcd3eEf5C4C32,154,0xAfAB37e854e2EDb2aa9E2830c6BFcd3eEf5C4C32
CastleDAO,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7,155,0xB9ccfC18B941A2CC51A956aa6C83360eb9d58DE7
CastleDAO,0x91609451B6a5775608787f3Da9501104935D3b25,156,0x91609451B6a5775608787f3Da9501104935D3b25
CastleDAO,0x125530c27fe7ebBb668939AF9367A1047516463B,157,0x125530c27fe7ebBb668939AF9367A1047516463B
CastleDAO,0x2C4965962223405a7B3520b4cdcf2A401620d28d,158,0x2C4965962223405a7B3520b4cdcf2A401620d28d
CastleDAO,0x6bf0443aE7288a126C7a798572ad43Ae78C62b6F,159,0x6bf0443aE7288a126C7a798572ad43Ae78C62b6F
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,160,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,161,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,162,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,163,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,164,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,165,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0x999BE147B07865D6437775A774822a67f7705307,166,0x999BE147B07865D6437775A774822a67f7705307
CastleDAO,0xe1C196c35E707A8a816E55Bc09f0C3196A04059d,167,0xe1C196c35E707A8a816E55Bc09f0C3196A04059d
CastleDAO,0x2fAcba55b2a082C741C7a8ac1D0148e6afE3f7ee,168,0x2fAcba55b2a082C741C7a8ac1D0148e6afE3f7ee
CastleDAO,0x0FC84e15AeB7907A76a221169D80D3eb06cdB44b,169,0x0FC84e15AeB7907A76a221169D80D3eb06cdB44b
CastleDAO,0x2ab46295b5BC93d255DdC11D1A8a472B845930cC,170,0x2ab46295b5BC93d255DdC11D1A8a472B845930cC
CastleDAO,0x126Fe1adA25AbdbD0584b60F3e5156807EE18fC9,171,0x126Fe1adA25AbdbD0584b60F3e5156807EE18fC9
CastleDAO,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E,172,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E
CastleDAO,0xcB0bd48F31B3A2f76880005Aa5B2F1380E8400d7,173,0xcB0bd48F31B3A2f76880005Aa5B2F1380E8400d7
CastleDAO,0x29477A93E19f6c0469CB90BFD96123C6646Ab443,174,0x29477A93E19f6c0469CB90BFD96123C6646Ab443
CastleDAO,0x201a9aE495adcbD9B3F606E1427B99b8D6Bc8F90,175,0x201a9aE495adcbD9B3F606E1427B99b8D6Bc8F90
CastleDAO,0x201a9aE495adcbD9B3F606E1427B99b8D6Bc8F90,176,0x201a9aE495adcbD9B3F606E1427B99b8D6Bc8F90
CastleDAO,0xE03D7Cb5E146e7F67c5da6BD81D7252B2D6Eea09,177,0xE03D7Cb5E146e7F67c5da6BD81D7252B2D6Eea09
CastleDAO,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC,178,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC
CastleDAO,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC,179,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC
CastleDAO,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E,180,0x59591576D0ae8C1Bf05c02b9F0B7eeCA7156378E
CastleDAO,0x6bf0443aE7288a126C7a798572ad43Ae78C62b6F,181,0x6bf0443aE7288a126C7a798572ad43Ae78C62b6F
CastleDAO,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC,182,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC
CastleDAO,0x5dfbB2344727462039eb18845a911C3396d91cf2,183,0x5dfbB2344727462039eb18845a911C3396d91cf2
CastleDAO,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC,184,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC
CastleDAO,0xc575a4D6a71D7316E3F29615873DdE6B6b5B141F,185,0xc575a4D6a71D7316E3F29615873DdE6B6b5B141F
CastleDAO,0x992221895B0Bed031449D2efeb79330421a9F3D5,186,0x992221895B0Bed031449D2efeb79330421a9F3D5
CastleDAO,0x79dd8c46c2C5f6A2B95D9cB8B78274008D2534Fa,187,0x79dd8c46c2C5f6A2B95D9cB8B78274008D2534Fa
CastleDAO,0x05cD14412ccd74F05379199181aA1847ed4802fd,188,0x05cD14412ccd74F05379199181aA1847ed4802fd
CastleDAO,0x958cC3135f99dD1F1C75A437a110c525E1AdB79c,189,0x958cC3135f99dD1F1C75A437a110c525E1AdB79c
CastleDAO,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC,190,0xcC3B2Af633074AE159a16a0eDa2753e7578262EC
CastleDAO,0x289922fBBfBd38472D7e2A1652B33b834f7c0E49,191,0x289922fBBfBd38472D7e2A1652B33b834f7c0E49
CastleDAO,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c,192,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c
CastleDAO,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c,193,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c
CastleDAO,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c,194,0x9B11B6d5Eaf7dcC3dc2d65067e585ac814a0E29c
CastleDAO,0x21b46929B20B60d0d5BBcC815228834742Bcc89a,195,0x21b46929B20B60d0d5BBcC815228834742Bcc89a
CastleDAO,0x21b46929B20B60d0d5BBcC815228834742Bcc89a,196,0x21b46929B20B60d0d5BBcC815228834742Bcc89a
CastleDAO,0x4932454b53f194ccd92cE913c22c472cD57b31D6,197,0x4932454b53f194ccd92cE913c22c472cD57b31D6
CastleDAO,0x017252042524Df387A7ed994d41D7bDe44f4670A,198,0x017252042524Df387A7ed994d41D7bDe44f4670A
CastleDAO,0xCDa9BFE9D578003E9dBDC90A5Dd1E9B0F52C01f6,199,0xCDa9BFE9D578003E9dBDC90A5Dd1E9B0F52C01f6
CastleDAO,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72,200,0x5c2420D798B987a7eED1cA762D4C70A2Ed4BeA72
